ts,ihd03A,ihd05A,ihd07A,ithdA
1588750878790,90.74,77.65,61.87,164.56
1588750878810,90.68,77.52,61.9,164.11
1588750878830,90.67,77.54,61.96,163.91
1588750878851,90.65,77.69,62.07,163.83
1588750878871,90.69,78.02,62.2,163.92
1588750878892,90.68,78.22,62.18,163.96
1588750878912,90.68,78.47,62.19,164.06
1588750878932,90.76,78.53,62.11,164.15
1588750878953,90.75,78.48,62.03,164.18
1588750878973,90.78,78.31,62.02,164.31
1588750878993,90.77,78.22,62.03,164.41
1588750879013,90.78,78.05,62.03,165.04
1588750879034,90.76,77.9,62.0,165.25
1588750879055,90.67,77.78,61.98,165.2
1588750879080,90.67,77.8,61.95,165.07
1588750879101,90.63,77.84,62.01,165.16
1588750879122,90.64,77.98,62.14,165.38
1588750879143,90.81,78.13,62.33,165.75
1588750879164,90.97,78.25,62.57,166.1
1588750879184,91.1,78.35,62.76,166.47
1588750879208,91.29,78.41,62.84,166.86
1588750879229,91.39,78.54,62.84,167.14
1588750879250,91.52,78.55,62.78,167.28
1588750879271,91.55,78.55,62.82,167.37
1588750879292,91.56,78.53,62.84,167.28
1588750879312,91.54,78.29,62.83,167.1
1588750879332,91.58,78.06,62.77,166.72
1588750879353,91.58,77.8,62.62,166.36
1588750879373,91.73,77.69,62.6,166.33
1588750879394,91.82,77.57,62.41,166.4
1588750879414,91.99,77.54,62.27,166.12
1588750879434,92.08,77.57,62.19,165.61
1588750879455,92.25,77.65,62.12,165.3
1588750879478,92.32,77.88,62.09,165.25
1588750879498,92.3,77.98,62.15,165.32
1588750879519,92.24,78.11,62.18,165.59
1588750879540,92.19,78.16,62.18,165.79
1588750879560,92.11,78.13,62.19,165.89
1588750879581,92.02,78.0,62.18,165.89
1588750879602,91.97,77.89,62.15,166.01
1588750879622,91.91,77.78,62.2,166.08
1588750879643,91.74,77.65,62.32,166.23
1588750879663,91.6,77.63,62.48,166.58
1588750879683,91.44,77.56,62.57,166.8
1588750879703,91.29,77.59,62.64,166.77
1588750879727,91.18,77.73,62.66,166.65
1588750879749,91.2,77.91,62.71,166.7
1588750879769,91.1,78.04,62.64,166.73
1588750879790,90.98,78.1,62.53,166.76
1588750879810,90.91,78.08,62.42,166.53
1588750879830,90.93,78.06,62.28,166.39
1588750879850,90.99,78.13,62.23,166.23
1588750879870,90.99,78.15,62.19,166.11
1588750879890,90.94,78.25,62.31,165.95
1588750879911,90.85,78.29,62.42,165.83
1588750879932,90.77,78.35,62.53,165.8
1588750879952,90.6,78.45,62.68,165.8
1588750879972,90.56,78.59,62.85,166.03
1588750879992,90.54,78.69,62.9,166.18
1588750880012,90.56,78.67,62.99,166.31
1588750880033,90.72,78.58,63.08,166.45
1588750880053,90.89,78.43,63.03,166.61
1588750880073,91.13,78.29,63.1,166.64
1588750880094,91.31,78.1,63.13,166.63
1588750880114,91.52,77.94,63.19,166.53
1588750880134,91.69,77.68,63.23,166.36
1588750880154,91.73,77.5,63.2,166.23
1588750880178,91.78,77.41,63.19,166.12
1588750880199,91.83,77.46,63.01,166.07
1588750880219,91.79,77.54,62.93,166.18
1588750880240,91.8,77.83,62.77,166.55
1588750880260,91.78,78.11,62.68,166.81
1588750880280,91.75,78.32,62.6,167.07
1588750880300,91.77,78.46,62.43,167.38
1588750880321,91.75,78.45,62.22,167.45
1588750880342,91.69,78.37,62.07,166.97
1588750880363,91.66,78.35,62.08,166.51
1588750880384,91.63,78.44,62.11,166.23
1588750880404,91.74,78.68,62.29,166.36
1588750880428,91.8,78.92,62.49,166.72
