ts,pwrA,rpwrA,curA,apwrA,screA
1588752278038,22.5382,-7.3012,0.1693,39.6936,3.248
1588752278058,22.4887,-4.5576,0.1691,39.6606,3.248
1588752278078,22.4556,-9.1397,0.169,39.6276,3.351
1588752278098,22.4556,-3.5849,0.1689,39.5946,3.351
1588752278118,22.4556,-6.7091,0.1688,39.5946,3.344
1588752278138,22.4722,-16.0216,0.1688,39.5946,3.344
1588752278158,22.4722,-12.9494,0.1688,39.5946,3.344
1588752278178,22.4556,-12.9482,0.1688,39.5946,3.344
1588752278198,22.4556,-7.8493,0.1687,39.5616,3.286
1588752278218,22.4226,-7.561,0.1686,39.545,3.286
1588752278238,22.4226,-7.6047,0.1686,39.5285,3.255
1588752278258,22.4061,-9.6826,0.1685,39.5285,3.255
1588752278278,22.3896,-12.6978,0.1685,39.5285,3.255
1588752278298,22.3731,-7.6971,0.1685,39.5285,3.289
1588752278318,22.3566,-4.3494,0.1685,39.512,3.289
1588752278338,22.3566,-10.5221,0.1685,39.512,3.289
1588752278358,22.3566,-3.0938,0.1684,39.4955,3.289
1588752278378,22.3731,-11.3523,0.1684,39.479,3.3
1588752278398,22.3896,-4.4897,0.1684,39.4955,3.3
1588752278418,22.4061,-6.6016,0.1685,39.512,3.3
1588752278438,22.4391,-5.5507,0.1686,39.5285,3.479
1588752278458,22.4722,-9.1292,0.1688,39.5781,3.479
1588752278478,22.4887,4.5995,0.169,39.6111,3.472
1588752278498,22.4887,2.2335,0.1691,39.6441,3.472
1588752278518,22.4722,-9.0093,0.1692,39.6606,3.472
1588752278538,22.5052,-6.3408,0.1693,39.6771,3.352
1588752278558,22.5382,-2.0893,0.1693,39.6771,3.352
1588752278578,22.5382,-10.6103,0.1692,39.6606,3.352
1588752278598,22.5217,-9.6233,0.1692,39.6606,3.338
1588752278618,22.5217,-16.1798,0.1692,39.6606,3.338
1588752278638,22.5217,-8.9159,0.1693,39.6771,3.225
1588752278658,22.4887,-1.4577,0.1693,39.6771,3.225
1588752278678,22.4556,-7.869,0.1692,39.6606,3.225
1588752278698,22.4556,-4.4607,0.1692,39.6606,3.267
1588752278718,22.4722,-7.1504,0.1692,39.6441,3.267
1588752278738,22.4722,-10.273,0.1691,39.6276,3.267
1588752278758,22.4556,-5.2748,0.169,39.6111,3.402
1588752278778,22.4556,-9.5636,0.169,39.6111,3.402
1588752278798,22.4722,-10.7347,0.169,39.6111,3.403
1588752278818,22.4722,-9.0854,0.1689,39.5946,3.403
1588752278838,22.4722,-6.8973,0.1688,39.5616,3.403
1588752278858,22.4556,-16.5273,0.1686,39.5285,3.073
1588752278878,22.4061,-7.3144,0.1685,39.4955,3.073
1588752278898,22.3566,-16.9344,0.1683,39.4625,3.073
1588752278918,22.2905,-1.3525,0.1681,39.4295,3.138
1588752278938,22.241,-4.3348,0.1679,39.3799,3.138
1588752278958,22.2575,-5.0018,0.1678,39.3634,3.138
1588752278978,22.274,3.6105,0.1677,39.3469,3.138
1588752278998,22.2575,-15.7831,0.1677,39.3304,3.233
1588752279018,22.208,-10.2806,0.1676,39.2974,3.233
1588752279038,22.1749,-10.2265,0.1674,39.2643,3.233
1588752279058,22.1584,-15.52,0.1672,39.2313,3.266
1588752279078,22.1419,-4.5967,0.167,39.1818,3.266
1588752279098,22.1089,-9.6769,0.1668,39.1157,3.266
1588752279118,22.0429,5.8172,0.1665,39.0497,3.28
1588752279138,21.9603,-17.1947,0.1661,38.9671,3.28
1588752279158,21.8777,-5.2243,0.1658,38.8846,3.28
1588752279179,21.8447,-5.2191,0.1656,38.835,3.28
1588752279199,21.7126,-10.2699,0.1651,38.736,3.173
1588752279219,21.6466,-0.9947,0.1648,38.6534,3.173
1588752279239,21.5475,-11.6782,0.1645,38.5709,3.173
1588752279259,21.4484,-11.918,0.1641,38.4718,3.098
1588752279279,21.3824,-7.0135,0.1636,38.3727,3.098
1588752279299,21.3163,-8.6922,0.1632,38.2571,3.098
1588752279319,21.2668,-8.395,0.1627,38.1581,3.172
1588752279339,21.1677,-13.8496,0.1622,38.0425,3.172
1588752279359,21.0687,-5.5561,0.1617,37.9269,3.172
1588752279379,21.0026,-2.2685,0.1611,37.7948,3.172
1588752279399,20.9036,-2.3056,0.1605,37.6462,3.187
1588752279419,20.8045,-9.9419,0.1599,37.4976,3.187
1588752279439,20.755,-7.1435,0.1592,37.349,3.212
1588752279459,20.6889,-6.8051,0.1587,37.2334,3.23
1588752279479,20.6229,-1.2278,0.1582,37.1179,3.23
1588752279499,20.5568,-8.3177,0.1577,37.0023,3.23
1588752279519,20.5238,-9.2605,0.1573,36.9032,3.23
1588752279539,20.5073,-13.4814,0.1569,36.8041,2.987
1588752279559,20.5073,-17.487,0.1565,36.7216,2.987
1588752279579,20.4908,-9.3278,0.1562,36.6555,3.31
1588752279599,20.4908,-9.6611,0.1559,36.5895,3.31
1588752279619,20.4908,-3.0868,0.1558,36.5399,3.31
1588752279639,20.4908,-9.118,0.1556,36.5069,3.213
1588752279659,20.4908,-12.6465,0.1554,36.4739,3.213
1588752279679,20.5073,-2.9442,0.1553,36.4409,3.213
1588752279699,20.5403,-8.5778,0.1552,36.4244,3.293
1588752279719,20.5238,-5.82,0.1552,36.4079,3.293
1588752279739,20.4577,-8.1336,0.1551,36.3748,3.293
1588752279759,20.4082,-11.7213,0.1549,36.3418,3.273
1588752279779,20.3587,-7.6393,0.1547,36.3088,3.273
1588752279799,20.3091,-8.3276,0.1546,36.2758,3.273
1588752279819,20.3257,-8.4993,0.1546,36.2758,3.306
1588752279839,20.3422,-16.1709,0.1547,36.2758,3.306
1588752279859,20.3587,-8.3308,0.1547,36.2923,3.306
1588752279879,20.3917,-2.6226,0.1548,36.3088,3.414
1588752279899,20.4082,-10.0577,0.1548,36.3088,3.414
1588752279919,20.3422,-11.5395,0.1547,36.3088,3.414
1588752279939,20.3091,-8.7998,0.1546,36.2758,3.179
1588752279959,20.3257,-7.5377,0.1545,36.2427,3.179
1588752279979,20.3422,-9.1278,0.1543,36.2097,3.179
1588752279999,20.3752,-8.7327,0.1542,36.1767,3.193
1588752280019,20.3587,-0.7529,0.154,36.1272,3.193
1588752280039,20.3091,-1.8126,0.1539,36.0941,3.193
1588752280059,20.2596,-9.1736,0.1537,36.0446,3.208
1588752280079,20.1936,-1.3231,0.1535,35.9951,3.208
1588752280099,20.1275,1.4536,0.1533,35.962,3.216
1588752280119,20.0945,-11.377,0.1531,35.9125,3.216
1588752280139,20.045,-6.9926,0.153,35.896,3.216
1588752280159,20.0119,-12.6455,0.1529,35.8795,3.204
1588752280179,20.0285,-12.6423,0.1529,35.863,3.204
1588752280199,20.0615,-15.8596,0.1529,35.8465,3.204
1588752280219,20.045,-14.141,0.1528,35.83,3.329
1588752280239,20.0615,-10.5529,0.1528,35.83,3.329
1588752280259,20.045,-13.0751,0.1527,35.8134,3.329
1588752280279,19.9954,-1.6661,0.1526,35.7969,3.329
