ts,ihd03A,ihd05A,ihd07A,ithdA
1588748838706,89.07,72.62,52.35,137.54
1588748838727,88.98,72.55,52.55,137.4
1588748838748,88.81,72.55,52.64,137.26
1588748838768,88.61,72.45,52.66,136.99
1588748838793,88.53,72.47,52.7,136.8
1588748838814,88.47,72.57,52.72,136.83
1588748838835,88.56,72.72,52.69,136.96
1588748838855,88.61,72.99,52.69,137.16
1588748838876,88.73,73.17,52.67,137.35
1588748838897,88.8,73.36,52.74,137.63
1588748838917,88.92,73.53,52.6,137.86
1588748838942,89.0,73.75,52.53,138.03
1588748838963,89.05,73.85,52.46,138.23
1588748838983,89.14,73.93,52.42,138.37
1588748839003,89.15,74.0,52.55,138.51
1588748839023,89.27,73.95,52.66,138.65
1588748839044,89.29,73.82,52.7,138.73
1588748839065,89.37,73.67,52.82,138.75
1588748839086,89.53,73.61,52.88,138.74
1588748839106,89.64,73.59,52.97,138.71
1588748839126,89.72,73.6,53.0,138.73
1588748839146,89.9,73.56,53.06,138.75
1588748839167,89.73,73.42,53.06,138.58
1588748839192,89.52,73.4,53.13,138.38
1588748839213,89.29,73.42,53.18,138.27
1588748839233,89.11,73.33,53.25,138.24
1588748839253,88.97,73.2,53.22,138.15
1588748839273,88.87,73.02,53.21,138.05
1588748839293,88.96,72.94,53.26,138.19
1588748839313,89.13,72.91,53.45,138.44
1588748839334,89.28,72.86,53.68,138.72
1588748839354,89.42,72.87,53.88,138.98
1588748839375,89.4,72.83,53.97,139.13
1588748839395,89.38,72.78,54.05,139.27
1588748839416,89.37,72.68,54.02,139.3
1588748839437,89.54,72.73,53.95,139.31
1588748839457,89.69,72.85,53.88,139.46
1588748839477,89.78,73.01,53.85,139.6
1588748839497,89.82,73.2,53.79,139.74
1588748839518,89.9,73.37,53.71,139.83
1588748839539,89.93,73.57,53.67,139.82
1588748839561,89.91,73.66,53.62,139.76
1588748839581,89.93,73.78,53.53,139.53
1588748839601,90.0,73.71,53.39,139.47
1588748839623,90.04,73.6,53.32,139.27
1588748839643,90.15,73.41,53.24,139.07
1588748839663,90.28,73.3,53.14,138.93
