ts,ihd03A,ihd05A,ihd07A,ithdA
1588747435842,12.42,7.15,2.11,18.94
1588747435862,12.52,7.17,2.09,19.06
1588747435882,12.7,7.17,2.07,19.2
1588747435902,12.84,7.17,2.04,19.26
1588747435922,12.99,7.19,2.06,19.24
1588747435942,13.14,7.23,2.08,19.16
1588747435962,13.23,7.25,2.11,19.1
1588747435982,13.36,7.27,2.13,18.95
1588747436002,13.41,7.24,2.15,18.88
1588747436022,13.4,7.23,2.2,18.94
1588747436042,13.37,7.19,2.25,19.08
1588747436062,13.31,7.12,2.28,19.22
1588747436082,13.2,7.02,2.33,19.37
1588747436102,13.1,6.96,2.38,19.57
1588747436122,13.0,6.92,2.45,19.74
1588747436142,12.84,6.88,2.57,19.87
1588747436162,12.75,6.88,2.65,19.95
1588747436182,12.61,6.86,2.72,19.87
1588747436202,12.52,6.85,2.76,19.63
1588747436222,12.43,6.84,2.76,19.28
1588747436242,12.37,6.83,2.73,19.0
1588747436263,12.36,6.85,2.7,18.82
1588747436283,12.38,6.87,2.63,18.68
1588747436303,12.37,6.91,2.54,18.6
1588747436323,12.36,6.95,2.46,18.55
1588747436343,12.36,7.0,2.39,18.57
1588747436363,12.36,7.02,2.35,18.61
1588747436383,12.33,7.07,2.25,18.68
1588747436403,12.35,7.09,2.11,18.72
1588747436423,12.37,7.07,2.04,18.69
1588747436443,12.44,7.04,1.92,18.69
1588747436463,12.51,7.01,1.87,18.75
1588747436484,12.59,6.98,1.87,18.71
1588747436504,12.68,6.96,1.94,18.65
1588747436524,12.81,6.95,2.08,18.59
1588747436544,12.94,6.95,2.22,18.54
1588747436564,13.06,6.97,2.34,18.54
1588747436584,13.18,7.0,2.43,18.64
1588747436604,13.26,7.05,2.5,18.84
1588747436624,13.33,7.08,2.55,19.1
1588747436644,13.37,7.12,2.6,19.37
1588747436664,13.35,7.13,2.66,19.63
1588747436684,13.27,7.14,2.73,19.85
1588747436704,13.17,7.15,2.78,19.97
1588747436724,13.04,7.16,2.81,19.99
1588747436744,12.91,7.16,2.81,20.08
1588747436764,12.8,7.17,2.84,20.14
1588747436784,12.7,7.14,2.83,20.04
1588747436804,12.6,7.11,2.83,19.85
1588747436824,12.48,7.1,2.8,19.47
1588747436844,12.39,7.07,2.78,19.08
1588747436864,12.35,7.03,2.72,18.7
1588747436884,12.34,7.05,2.67,18.4
1588747436904,12.36,7.04,2.63,18.23
1588747436924,12.4,7.07,2.58,18.21
1588747436959,12.41,7.07,2.58,18.24
1588747436979,12.51,7.09,2.52,18.73
1588747437000,12.54,7.07,2.49,18.98
1588747437020,12.62,7.07,2.45,19.18
1588747437040,12.71,7.1,2.4,19.27
1588747437060,12.8,7.09,2.38,19.29
1588747437080,12.95,7.09,2.33,19.29
1588747437100,13.1,7.1,2.32,19.2
1588747437120,13.23,7.12,2.3,19.01
1588747437140,13.33,7.11,2.3,18.87
1588747437160,13.44,7.11,2.27,18.79
1588747437180,13.53,7.13,2.22,18.79
1588747437200,13.59,7.16,2.16,18.92
1588747437220,13.63,7.19,2.13,19.18
1588747437240,13.62,7.2,2.14,19.42
1588747437260,13.58,7.21,2.16,19.68
1588747437280,13.49,7.15,2.24,20.06
1588747437300,13.41,7.09,2.31,20.25
1588747437320,13.28,7.0,2.39,20.33
1588747437340,13.18,6.96,2.46,20.31
1588747437360,13.01,6.88,2.53,20.16
