,appl,conflict,dif,dpwr,onoff,state
2020-08-23 19:44:07+03:00,,,,,,
2020-08-23 19:44:08+03:00,,,,,,
2020-08-23 19:44:09+03:00,,,,,,
2020-08-23 19:44:10+03:00,0.0,ironpress,0.0,1307.04208,1.0,1.0
2020-08-23 19:44:11+03:00,,,,,,
2020-08-23 19:44:12+03:00,,,,,,
2020-08-23 19:44:13+03:00,,,,,,
2020-08-23 19:44:14+03:00,,,,,,
2020-08-23 19:44:15+03:00,,,,,,
2020-08-23 19:44:16+03:00,,,,,,
2020-08-23 19:44:17+03:00,,,,,,
2020-08-23 19:44:18+03:00,,,,,,
2020-08-23 19:44:19+03:00,,,,,,
2020-08-23 19:44:20+03:00,0.0,heatpumpC,10.0,209.4236199999998,1.0,0.0
